ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
251600,PLUS 고배당주채권혼합,KR,ETF,3.44,manual,k_etf_rank_dividend_yield,3.44%,k-etf_rank_dividend_yield.csv
161510,PLUS 고배당주,KR,ETF,3.43,manual,k_etf_rank_dividend_yield,3.43%,k-etf_rank_dividend_yield.csv
352560,KODEX 미국부동산리츠(H),KR,ETF,3.42,manual,k_etf_rank_dividend_yield,3.42%,k-etf_rank_dividend_yield.csv
466940,TIGER 은행고배당플러스TOP10,KR,ETF,3.41,manual,k_etf_rank_dividend_yield,3.41%,k-etf_rank_dividend_yield.csv
332610,PLUS 미국단기회사채(AAA~A),KR,ETF,3.37,manual,k_etf_rank_dividend_yield,3.37%,k-etf_rank_dividend_yield.csv
166400,TIGER 200커버드콜OTM,KR,ETF,3.37,manual,k_etf_rank_dividend_yield,3.37%,k-etf_rank_dividend_yield.csv
475380,RISE 글로벌리얼티인컴,KR,ETF,3.36,manual,k_etf_rank_dividend_yield,3.36%,k-etf_rank_dividend_yield.csv
440340,TIGER 글로벌멀티에셋TIF액티브,KR,ETF,3.35,manual,k_etf_rank_dividend_yield,3.35%,k-etf_rank_dividend_yield.csv
438570,SOL 국고채10년,KR,ETF,3.33,manual,k_etf_rank_dividend_yield,3.33%,k-etf_rank_dividend_yield.csv
140700,KODEX 보험,KR,ETF,3.32,manual,k_etf_rank_dividend_yield,3.32%,k-etf_rank_dividend_yield.csv
461500,HANARO 종합채권(AA-이상)액티브,KR,ETF,3.32,manual,k_etf_rank_dividend_yield,3.32%,k-etf_rank_dividend_yield.csv
484880,SOL 금융지주플러스고배당,KR,ETF,3.31,manual,k_etf_rank_dividend_yield,3.31%,k-etf_rank_dividend_yield.csv
0004G0,1Q 미국배당TOP30,KR,ETF,3.3,manual,k_etf_rank_dividend_yield,3.30%,k-etf_rank_dividend_yield.csv
245350,TIGER 유로스탁스배당30,KR,ETF,3.29,manual,k_etf_rank_dividend_yield,3.29%,k-etf_rank_dividend_yield.csv
091170,KODEX 은행,KR,ETF,3.28,manual,k_etf_rank_dividend_yield,3.28%,k-etf_rank_dividend_yield.csv
236350,TIGER 인도니프티50레버리지(합성),KR,ETF,3.24,manual,k_etf_rank_dividend_yield,3.24%,k-etf_rank_dividend_yield.csv
