market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,082920,30.2,30.2,-48.49,0.74,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,004370,0.0,0.0,-44.56,0.29,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,083650,40.44,40.44,-85.83,0.99,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,007810,27.6,27.6,-78.76,1.32,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,018670,11.51,11.51,-61.74,0.43,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,069960,-2.15,-2.15,-69.03,0.68,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000240,0.3,0.3,-68.99,0.73,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,120110,0.69,0.69,-77.13,1.09,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,008930,-12.76,-12.76,-86.04,0.91,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,008770,-1.67,-1.67,-72.8,0.75,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,007070,-8.22,-8.22,-81.31,0.49,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,322000,44.16,44.16,-77.82,1.14,6.52,^KS11,ready,yfinance_kr_close_price_20260528,
KR,068760,11.83,11.83,-78.92,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,001430,9.29,9.29,-85.34,0.91,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,282330,-7.68,-7.68,-60.16,0.39,8.46,^KS11,ready,yfinance_kr_close_price_20260528,
KR,140410,22.98,22.98,-85.01,0.86,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005440,1.65,1.65,-73.85,0.71,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,112610,17.78,17.78,-67.01,0.99,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,030000,1.34,1.34,-60.13,0.52,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,035900,27.97,27.97,-69.17,0.77,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,347700,22.94,22.94,-89.27,1.06,5.18,^KS11,ready,yfinance_kr_close_price_20260528,
KR,030530,15.17,15.17,-76.5,1.29,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,161890,-0.56,-0.56,-70.38,0.66,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,323280,51.21,51.21,-69.25,0.73,6.92,^KS11,ready,yfinance_kr_close_price_20260528,
